idImpianto;Gestore;Bandiera;Tipo Impianto;Nome Impianto;Indirizzo;Comune;Provincia;Latitudine;Longitudine
25701;SPANGARO STEFANO E C. S.A.S.;Pompe Bianche;Altro;2S;VIA ZOMPICCO 93, 33050;SANTA MARIA LA LONGA;UD;45.9311737903027;13.2788589397028
14643;DA ANGELA DI FABRIS GIACOMINO & C. - S.A.S.;Agip Eni;Altro;DA ANGELA;VIA A. FOGAZZARO 45 33039;SEDEGLIANO;UD;46.0269525861784;12.9372824728489
22903;PORFIDO S.N.C. DI PORFIDO CLAUDIO & C.;Tamoil;Altro;porfido snc;Via Osoppo 17 33039;SEDEGLIANO;UD;45.9973070874288;12.9680776596069
33487;BAR ALLA POSTA DI PACELLI GIOVANNI;Api-Ip;Strada Statale;IP PACELLI GIOVANNI;Statale 52 Carnica, Km. 30, dir. OVEST 33020;SOCCHIEVE;UD;46.4033988715109;12.8237166189754
39519;PLUS SERVICE DI DE PAOLI MARCO & C. S.N.C.;Esso;Strada Statale;ESSO;Statale 252 di Palmanova, Km. 9+485, dir. Palmanova 33030;TALMASSONS;UD;45.9387171139137;13.1203499436378
43804;KUMAR SANJEEV & TIRATH RAM S.N.C.;Api-Ip;Strada Statale;IP DISTRIBUTORE;252 di Palmanova, Km. 7+870, FLAMBRO 33030;TALMASSONS;UD;45.9430831291206;13.1004846472388
19925;MARCO SPECOGNA & C. S.A.S.;Api-Ip;Strada Statale;Marco Specogna & C. S.A.S.;Statale 252 di Palmanova, Km. 7+800, dir. Palmanova 33030;TALMASSONS;UD;45.9430928917844;13.100484162569
10567;ASTOLFI MARCO;Agip Eni;Altro;ASTOLFI MARCO S.S. ENI;VIA UDINE 28 33017;TARCENTO;UD;46.2125956937437;13.2126474380493
31546;TOFFOLO GIANLUCA;Agip Eni;Strada Statale;ENI SOM Toffolo;Statale 13 Pontebbana, Km. 146.398, dir. Tarvisio 33010;TARCENTO;UD;46.2061907248809;13.1882597126449
39125;COLLINI MAURO;Agip Eni;Altro;ENI di Collini Mauro;VIA DIAZ 74 33018;TARVISIO;UD;46.5061830518786;13.5652003460327
40572;AUTOSTAZIONE RIFORNIMENTI S.N.C. DI DEL ROSS ALBERTO & C.;Esso;Altro;ESSO;VIA ARMANDO DIAZ 32 33018;TARVISIO;UD;46.5054986127405;13.5692164473475
41516;CHAND LAL;Api-Ip;Altro;CHAND LAL;VIALE VENEZIA EX S.S. 13 PONTEBBANA  33010;TAVAGNACCO;UD;46.0970391980297;13.1975278258324
7772;DAL MAGRO TIZIANA;Esso;Altro;DAL MAGRO TIZIANA;VIA NAZIONALE 44 33010;TAVAGNACCO;UD;46.1046133181292;13.2294809818268
31746;MIANI CARLO;Api-Ip;Altro;IP;VIALE VENEZIA  SNC 33010;TAVAGNACCO;UD;46.0970501717135;13.1974352896214
24421;VANELLO EUGENIO & FIGLI S.P.A;Pompe Bianche;Altro;KV TAVAGNACCO;Via Marconi 90 33010;TAVAGNACCO;UD;46.1182200937669;13.2174003251312
25044;SAN MARCO PETROLI DISTRIBUZIONE S.R.L.;San Marco Petroli;Altro;SMP TAVAGNACCO;VIA IV NOVEMBRE, 37  ;TAVAGNACCO;UD;46.1000457228208;13.2220298051834
35330;STAZIONE ENI DI MAZZA GIOVANNI;Esso;Altro;STAZIONE DI SERVIZIO ESSO DI MAZZA GIOVANNI;VIA MILANO 25 33010;TAVAGNACCO;UD;46.1002064133641;13.2062973082066
